z,Ai,Ao,sigma,Ri,Ro,R2,N
1.0,0.984649,0.866649,0.234222,0.63081,1.330701,0.905714,407
1.01,0.984649,0.86665,0.234222,0.63081,1.330701,0.905714,407
1.02,0.984649,0.86665,0.234222,0.63081,1.330701,0.905714,407
1.03,0.984649,0.86665,0.234222,0.63081,1.330701,0.905714,407
1.04,0.976709,0.860676,0.236613,0.628773,1.328736,0.908871,412
1.05,0.976709,0.860676,0.236614,0.628774,1.328736,0.908871,412
1.06,0.976709,0.860676,0.236614,0.628774,1.328736,0.908871,412
1.07,0.976709,0.860676,0.236614,0.628774,1.328736,0.908871,412
1.08,0.976709,0.860676,0.236614,0.628774,1.328736,0.908871,412
1.09,0.968305,0.85469,0.238878,0.626798,1.326847,0.913178,418
1.1,0.968305,0.85469,0.238878,0.626798,1.326847,0.913178,418
1.11,0.968305,0.85469,0.238878,0.626798,1.326847,0.913178,418
1.12,0.968305,0.85469,0.238878,0.626798,1.326847,0.913178,418
1.13,0.968305,0.85469,0.238878,0.626798,1.326847,0.913178,418
1.14,0.95903,0.848413,0.241176,0.624664,1.324995,0.917347,423
1.15,0.95903,0.848413,0.241176,0.624664,1.324995,0.917347,423
1.16,0.95903,0.848413,0.241176,0.624664,1.324995,0.917347,423
1.17,0.95903,0.848413,0.241176,0.624664,1.324995,0.917347,423
1.18,0.95903,0.848413,0.241176,0.624664,1.324995,0.917347,423
1.19,0.949033,0.842128,0.243418,0.622577,1.323161,0.921792,428
1.2,0.949033,0.842128,0.243418,0.622577,1.323161,0.921792,428
1.21,0.949033,0.842128,0.243418,0.622577,1.323161,0.921792,428
1.22,0.949033,0.842128,0.243418,0.622577,1.323161,0.921792,428
1.23,0.949033,0.842128,0.243418,0.622577,1.323161,0.921792,428
1.24,0.938199,0.835771,0.245659,0.620541,1.321315,0.925765,432
1.25,0.938199,0.835771,0.245659,0.620541,1.321315,0.925765,432
1.26,0.938199,0.835771,0.245659,0.620541,1.321315,0.925765,432
1.27,0.938199,0.835771,0.245659,0.620541,1.321315,0.925765,432
1.28,0.938199,0.835771,0.245659,0.620541,1.321315,0.925765,432
1.29,0.926593,0.829324,0.247888,0.618593,1.319453,0.929375,435
1.3,0.926593,0.829324,0.247888,0.618593,1.319453,0.929375,435
1.31,0.926593,0.829324,0.247888,0.618593,1.319453,0.929375,435
1.32,0.926593,0.829324,0.247888,0.618593,1.319453,0.929375,435
1.33,0.926593,0.829324,0.247888,0.618593,1.319453,0.929375,435
1.34,0.913512,0.821791,0.250339,0.616501,1.31747,0.932241,437
1.35,0.913512,0.821791,0.250339,0.616501,1.317469,0.932241,437
1.36,0.913512,0.821791,0.250339,0.616501,1.317469,0.932241,437
1.37,0.913512,0.821791,0.250339,0.616501,1.317469,0.932241,437
1.38,0.905559,0.816309,0.251679,0.615526,1.316307,0.931744,510
1.39,0.898912,0.812563,0.25294,0.614423,1.315239,0.933674,438
1.4,0.898912,0.812563,0.25294,0.614423,1.315239,0.933674,438
1.41,0.898912,0.812563,0.25294,0.614423,1.315239,0.933674,438
1.42,0.898912,0.812563,0.25294,0.614423,1.315239,0.933674,438
1.43,0.890226,0.805751,0.254422,0.613421,1.313855,0.932006,511
1.44,0.882848,0.801273,0.255799,0.61229,1.312686,0.933298,438
1.45,0.882849,0.801273,0.255798,0.61229,1.312686,0.933298,438
1.46,0.882848,0.801272,0.255799,0.61229,1.312686,0.933298,438
1.47,0.882848,0.801272,0.255799,0.61229,1.312686,0.933298,438
1.48,0.874389,0.794199,0.257405,0.611242,1.311273,0.931248,511
1.49,0.866387,0.788883,0.258904,0.610095,1.309974,0.932239,438
1.5,0.866388,0.788881,0.258905,0.610095,1.309974,0.932239,438
1.51,0.866388,0.78888,0.258905,0.610096,1.309974,0.932239,438
1.52,0.866388,0.78888,0.258905,0.610096,1.309974,0.932239,438
1.53,0.858895,0.782548,0.260601,0.608991,1.308756,0.930622,511
1.54,0.85049,0.776444,0.262245,0.607799,1.307325,0.931243,438
1.55,0.85049,0.776444,0.262245,0.607799,1.307325,0.931243,438
1.56,0.85049,0.776444,0.262245,0.607799,1.307325,0.931243,438
1.57,0.85049,0.776444,0.262245,0.607799,1.307325,0.931243,438
1.58,0.844005,0.771141,0.264004,0.606622,1.306387,0.930252,511
1.59,0.835456,0.764405,0.265806,0.605364,1.30484,0.930499,438
1.6,0.835456,0.764405,0.265806,0.605364,1.30484,0.930499,438
1.61,0.835456,0.764405,0.265806,0.605364,1.30484,0.930499,438
1.62,0.835456,0.764405,0.265806,0.605364,1.30484,0.930499,438
1.63,0.829467,0.759731,0.26766,0.604103,1.304156,0.930414,512
1.64,0.821345,0.753026,0.269594,0.602781,1.30265,0.930478,439
1.65,0.821345,0.753026,0.269594,0.602781,1.30265,0.930478,439
1.66,0.821345,0.753026,0.269594,0.602781,1.30265,0.930478,439
1.67,0.821345,0.753026,0.269594,0.602781,1.30265,0.930478,439
1.68,0.80857,0.743082,0.273488,0.600038,1.300858,0.930704,440
1.69,0.80857,0.743082,0.273488,0.600038,1.300858,0.930704,440
1.7,0.80857,0.743082,0.273488,0.600038,1.300858,0.930704,440
1.71,0.80857,0.743082,0.273488,0.600038,1.300858,0.930704,440
1.72,0.80857,0.743082,0.273488,0.600038,1.300858,0.930704,440
1.73,0.79713,0.734846,0.277407,0.597153,1.299535,0.931583,441
1.74,0.79713,0.734846,0.277407,0.597153,1.299535,0.931583,441
1.75,0.79713,0.734846,0.277407,0.597153,1.299535,0.931583,441
1.76,0.79713,0.734846,0.277407,0.597153,1.299535,0.931583,441
1.77,0.79713,0.734846,0.277407,0.597153,1.299535,0.931583,441
1.78,0.786425,0.727924,0.281118,0.594052,1.298105,0.933554,443
1.79,0.786425,0.727924,0.281118,0.594052,1.298105,0.933554,443
1.8,0.786425,0.727924,0.281118,0.594052,1.298105,0.933554,443
1.81,0.786425,0.727924,0.281118,0.594052,1.298105,0.933554,443
1.82,0.786425,0.727924,0.281118,0.594052,1.298105,0.933554,443
1.83,0.775419,0.721071,0.284842,0.590793,1.296552,0.935706,445
1.84,0.775419,0.721071,0.284842,0.590793,1.296552,0.935706,445
1.85,0.775419,0.721071,0.284842,0.590793,1.296552,0.935706,445
1.86,0.775419,0.721071,0.284842,0.590793,1.296552,0.935706,445
1.87,0.775419,0.721071,0.284842,0.590793,1.296552,0.935706,445
1.88,0.763947,0.713957,0.288607,0.58739,1.294742,0.937758,447
1.89,0.763947,0.713957,0.288607,0.58739,1.294742,0.937758,447
1.9,0.763947,0.713957,0.288607,0.58739,1.294742,0.937758,447
1.91,0.763947,0.713957,0.288607,0.58739,1.294742,0.937758,447
1.92,0.763947,0.713957,0.288607,0.58739,1.294742,0.937758,447
1.93,0.752478,0.706843,0.292385,0.58391,1.292764,0.939102,448
1.94,0.752478,0.706843,0.292385,0.58391,1.292764,0.939102,448
1.95,0.752478,0.706843,0.292385,0.58391,1.292764,0.939102,448
1.96,0.752478,0.706843,0.292385,0.58391,1.292764,0.939102,448
1.97,0.752478,0.706843,0.292385,0.58391,1.292764,0.939102,448
1.98,0.74129,0.699766,0.296189,0.580438,1.290747,0.940327,449
1.99,0.74129,0.699766,0.296189,0.580437,1.290747,0.940327,449
2.0,0.741291,0.699766,0.296189,0.580437,1.290747,0.940327,449
2.01,0.741291,0.699766,0.296189,0.580437,1.290747,0.940327,449
2.02,0.741291,0.699766,0.296189,0.580437,1.290747,0.940327,449
2.03,0.730471,0.692718,0.300029,0.576988,1.288756,0.941377,450
2.04,0.730471,0.692718,0.300029,0.576988,1.288756,0.941377,450
2.05,0.730471,0.692718,0.300029,0.576988,1.288756,0.941377,450
2.06,0.730471,0.692718,0.300029,0.576988,1.288756,0.941377,450
2.07,0.730471,0.692718,0.300029,0.576988,1.288756,0.941377,450
2.08,0.719672,0.685099,0.304275,0.573654,1.287274,0.941968,450
2.09,0.719673,0.6851,0.304275,0.573654,1.287273,0.941968,450
2.1,0.719672,0.685099,0.304275,0.573654,1.287273,0.941968,450
2.11,0.719672,0.685099,0.304275,0.573654,1.287273,0.941968,450
2.12,0.714537,0.681126,0.30647,0.572065,1.286749,0.942092,526
2.13,0.70902,0.677318,0.308726,0.570279,1.285934,0.942916,451
2.14,0.70902,0.677318,0.308726,0.570279,1.285934,0.942916,451
2.15,0.70902,0.677318,0.308726,0.570279,1.285934,0.942916,451
2.16,0.70902,0.677318,0.308726,0.570279,1.285934,0.942916,451
2.17,0.703927,0.673417,0.310983,0.568601,1.285409,0.942872,527
2.18,0.698568,0.669537,0.313313,0.566816,1.284659,0.943668,452
2.19,0.698568,0.669538,0.313313,0.566815,1.284658,0.943668,452
2.2,0.698568,0.669538,0.313313,0.566815,1.284658,0.943668,452
2.21,0.698568,0.669538,0.313313,0.566815,1.284658,0.943668,452
2.22,0.693503,0.665673,0.315637,0.565045,1.284119,0.943488,528
2.23,0.688293,0.661775,0.318033,0.563241,1.28343,0.944273,453
2.24,0.688291,0.661775,0.318034,0.56324,1.283429,0.944273,453
2.25,0.688291,0.661775,0.318034,0.56324,1.283429,0.944273,453
2.26,0.688291,0.661775,0.318034,0.56324,1.283429,0.944273,453
2.27,0.683251,0.657878,0.32044,0.561394,1.282866,0.943975,529
2.28,0.6781,0.654015,0.322916,0.559518,1.282199,0.944767,454
2.29,0.6781,0.654015,0.322916,0.559518,1.282199,0.944767,454
2.3,0.6781,0.654015,0.322916,0.559518,1.282199,0.944767,454
2.31,0.6781,0.654015,0.322916,0.559518,1.282199,0.944767,454
2.32,0.673274,0.65047,0.325163,0.557511,1.281312,0.94472,531
2.33,0.668142,0.646754,0.327674,0.555488,1.280556,0.945583,456
2.34,0.668143,0.646754,0.327674,0.555488,1.280556,0.945583,456
2.35,0.668143,0.646753,0.327675,0.555488,1.280556,0.945583,456
2.36,0.668143,0.646753,0.327675,0.555488,1.280556,0.945583,456
2.37,0.6633,0.64309,0.330038,0.553443,1.279661,0.945362,533
2.38,0.658169,0.639481,0.332592,0.551271,1.278786,0.946324,458
2.39,0.658169,0.639481,0.332592,0.551271,1.278786,0.946324,458
2.4,0.658169,0.639481,0.332592,0.551271,1.278786,0.946324,458
2.41,0.658169,0.639481,0.332592,0.551271,1.278786,0.946324,458
2.42,0.648246,0.632236,0.337627,0.546874,1.276874,0.946452,459
2.43,0.648246,0.632236,0.337627,0.546874,1.276874,0.946452,459
2.44,0.648246,0.632236,0.337627,0.546874,1.276874,0.946452,459
2.45,0.648246,0.632236,0.337627,0.546874,1.276874,0.946452,459
2.46,0.648246,0.632236,0.337627,0.546874,1.276874,0.946452,459
2.47,0.638407,0.625069,0.342763,0.542274,1.274832,0.946587,460
2.48,0.638407,0.625069,0.342763,0.542274,1.274832,0.946587,460
2.49,0.638407,0.625069,0.342763,0.542274,1.274832,0.946587,460
2.5,0.638407,0.625069,0.342763,0.542274,1.274832,0.946587,460
2.51,0.638407,0.625069,0.342763,0.542274,1.274832,0.946587,460
2.52,0.628659,0.618124,0.347966,0.5374,1.272625,0.946702,461
2.53,0.628659,0.618124,0.347966,0.537401,1.272625,0.946702,461
2.54,0.628659,0.618124,0.347966,0.537401,1.272625,0.946702,461
2.55,0.628659,0.618124,0.347966,0.537401,1.272625,0.946702,461
2.56,0.628659,0.618124,0.347966,0.537401,1.272625,0.946702,461
2.57,0.618908,0.611357,0.353321,0.532207,1.270282,0.947349,463
2.58,0.618908,0.611357,0.353321,0.532207,1.270282,0.947349,463
2.59,0.618908,0.611357,0.353321,0.532207,1.270282,0.947349,463
2.6,0.618908,0.611357,0.353321,0.532207,1.270282,0.947349,463
2.61,0.618908,0.611357,0.353321,0.532207,1.270282,0.947349,463
2.62,0.608941,0.604166,0.359256,0.526851,1.268225,0.94771,464
2.63,0.608941,0.604166,0.359256,0.526851,1.268225,0.94771,464
2.64,0.608941,0.604166,0.359256,0.526851,1.268225,0.94771,464
2.65,0.608941,0.604166,0.359256,0.526851,1.268225,0.94771,464
2.66,0.608941,0.604166,0.359256,0.526851,1.268225,0.94771,464
2.67,0.599137,0.597284,0.365276,0.521121,1.265957,0.948055,465
2.68,0.599137,0.597284,0.365277,0.521121,1.265958,0.948055,465
2.69,0.599137,0.597284,0.365277,0.521121,1.265958,0.948055,465
2.7,0.599137,0.597284,0.365277,0.521121,1.265958,0.948055,465
2.71,0.599137,0.597284,0.365277,0.521121,1.265958,0.948055,465
2.72,0.589509,0.59061,0.371418,0.515065,1.263488,0.948375,466
2.73,0.589509,0.59061,0.371419,0.515065,1.263488,0.948375,466
2.74,0.589509,0.59061,0.371419,0.515065,1.263488,0.948375,466
2.75,0.589509,0.59061,0.371419,0.515065,1.263488,0.948375,466
2.76,0.589509,0.59061,0.371419,0.515065,1.263488,0.948375,466
2.77,0.580039,0.584002,0.377742,0.508772,1.260838,0.948651,467
2.78,0.58004,0.584002,0.377741,0.508772,1.260838,0.948651,467
2.79,0.58004,0.584002,0.377741,0.508772,1.260838,0.948651,467
2.8,0.58004,0.584002,0.377741,0.508772,1.260838,0.948651,467
2.81,0.58004,0.584002,0.377741,0.508772,1.260838,0.948651,467
2.82,0.570695,0.577332,0.384298,0.502321,1.25803,0.948879,468
2.83,0.570695,0.577332,0.384298,0.502321,1.25803,0.948879,468
2.84,0.570695,0.577332,0.384298,0.502321,1.25803,0.948879,468
2.85,0.570695,0.577332,0.384298,0.502321,1.25803,0.948879,468
2.86,0.566572,0.574407,0.387138,0.499108,1.256415,0.948557,547
2.87,0.561813,0.571295,0.390521,0.495551,1.254707,0.948852,469
2.88,0.561813,0.571295,0.390521,0.495551,1.254707,0.948852,469
2.89,0.561813,0.571295,0.390521,0.495551,1.254707,0.948852,469
2.9,0.561813,0.571295,0.390521,0.495551,1.254707,0.948852,469
2.91,0.557592,0.568272,0.393563,0.492216,1.253002,0.948512,548
2.92,0.552943,0.565227,0.396973,0.488571,1.251163,0.948853,470
2.93,0.552943,0.565227,0.396973,0.488571,1.251163,0.948853,470
2.94,0.552943,0.565227,0.396973,0.488571,1.251163,0.948853,470
2.95,0.552943,0.565227,0.396973,0.488571,1.251163,0.948853,470
2.96,0.548541,0.562166,0.400258,0.485025,1.249283,0.948551,549
2.97,0.543971,0.559232,0.403687,0.481252,1.24729,0.948955,471
2.98,0.543971,0.559232,0.403687,0.481252,1.24729,0.948955,471
2.99,0.543971,0.559232,0.403687,0.481252,1.24729,0.948955,471
3.0,0.543971,0.559232,0.403687,0.481252,1.24729,0.948955,471
3.01,0.539263,0.556074,0.407347,0.477442,1.245208,0.94926,551
3.02,0.534705,0.553311,0.410803,0.473454,1.24299,0.949834,473
3.03,0.534705,0.553311,0.410803,0.473454,1.24299,0.949834,473
3.04,0.534705,0.553311,0.410803,0.473454,1.24299,0.949834,473
3.05,0.534705,0.553311,0.410803,0.473454,1.24299,0.949834,473
3.06,0.529839,0.550225,0.414697,0.46937,1.240702,0.950087,553
3.07,0.525219,0.547707,0.418189,0.465046,1.238161,0.950859,475
3.08,0.525219,0.547707,0.418189,0.465046,1.238161,0.950859,475
3.09,0.525219,0.547707,0.418189,0.465046,1.238161,0.950859,475
3.1,0.525219,0.547707,0.418189,0.465046,1.238161,0.950859,475
3.11,0.520297,0.54469,0.422273,0.460755,1.235754,0.951034,555
3.12,0.515578,0.542501,0.425795,0.455995,1.232823,0.952022,477
3.13,0.515578,0.542502,0.425795,0.455995,1.232823,0.952022,477
3.14,0.515578,0.542502,0.425795,0.455995,1.232823,0.952022,477
3.15,0.515578,0.542502,0.425795,0.455995,1.232823,0.952022,477
3.16,0.505183,0.536743,0.434636,0.446509,1.227331,0.953136,478
3.17,0.505182,0.536743,0.434637,0.446509,1.22733,0.953136,478
3.18,0.505182,0.536743,0.434637,0.446509,1.22733,0.953136,478
3.19,0.505182,0.536743,0.434637,0.446509,1.22733,0.953136,478
3.2,0.505182,0.536743,0.434637,0.446509,1.22733,0.953136,478
3.21,0.495521,0.532192,0.442735,0.436425,1.221432,0.954739,480
3.22,0.49552,0.532192,0.442735,0.436425,1.221432,0.954739,480
3.23,0.49552,0.532192,0.442735,0.436425,1.221432,0.954739,480
3.24,0.49552,0.532192,0.442735,0.436425,1.221432,0.954739,480
3.25,0.49552,0.532192,0.442735,0.436425,1.221432,0.954739,480
3.26,0.486136,0.52823,0.450703,0.425848,1.215332,0.956331,482
3.27,0.486136,0.528231,0.450703,0.425848,1.215331,0.956331,482
3.28,0.486136,0.52823,0.450703,0.425848,1.215331,0.956331,482
3.29,0.486136,0.52823,0.450703,0.425848,1.215331,0.956331,482
3.3,0.486136,0.52823,0.450703,0.425848,1.215331,0.956331,482
3.31,0.476801,0.52485,0.458658,0.414635,1.208922,0.957341,483
3.32,0.476801,0.52485,0.458658,0.414635,1.208922,0.957341,483
3.33,0.476801,0.52485,0.458658,0.414635,1.208922,0.957341,483
3.34,0.476801,0.52485,0.458658,0.414635,1.208922,0.957341,483
3.35,0.476801,0.52485,0.458658,0.414635,1.208922,0.957341,483
3.36,0.467415,0.522267,0.466504,0.402527,1.202012,0.958287,484
3.37,0.467414,0.522267,0.466504,0.402526,1.202012,0.958287,484
3.38,0.467414,0.522267,0.466504,0.402526,1.202012,0.958287,484
3.39,0.467414,0.522267,0.466504,0.402526,1.202012,0.958287,484
3.4,0.467414,0.522267,0.466504,0.402526,1.202012,0.958287,484
3.41,0.457688,0.52063,0.474329,0.389101,1.194281,0.959172,485
3.42,0.457688,0.52063,0.474329,0.389101,1.194281,0.959172,485
3.43,0.457688,0.52063,0.474329,0.389101,1.194281,0.959172,485
3.44,0.457688,0.52063,0.474329,0.389101,1.194281,0.959172,485
3.45,0.457688,0.52063,0.474329,0.389101,1.194281,0.959172,485
3.46,0.447295,0.520087,0.482268,0.373825,1.185372,0.960015,486
3.47,0.447294,0.520087,0.482268,0.373825,1.185371,0.960015,486
3.48,0.447294,0.520087,0.482268,0.373825,1.185371,0.960015,486
3.49,0.447294,0.520087,0.482268,0.373825,1.185371,0.960015,486
3.5,0.447294,0.520087,0.482268,0.373825,1.185371,0.960015,486
